ocid,title,url
LLE001-UA-20231219-04077,"ПІДЗЕМНА СТАНЦІЯ ""Університет""",https://prozorro.sale/auction/LLE001-UA-20231219-04077
LLE001-UA-20231219-69602,"ПІДЗЕМНИЙ ПЕРЕХІД",https://prozorro.sale/auction/LLE001-UA-20231219-69602
LLE001-UA-20231225-01304,"Нежитлова будівля вагової, літ.""Л""",https://prozorro.sale/auction/LLE001-UA-20231225-01304
LLE001-UA-20240108-65850,"ОТОЛАРИНГОЛОГІЧНИЙ КОРПУС",https://prozorro.sale/auction/LLE001-UA-20240108-65850
LLE001-UA-20240123-74788,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/auction/LLE001-UA-20240123-74788
LLE001-UA-20240126-74082,"ЛІКУВАЛЬНИЙ КОРПУС",https://prozorro.sale/auction/LLE001-UA-20240126-74082
LLE001-UA-20240214-00509,"ВИРОБНИЧЕ",https://prozorro.sale/auction/LLE001-UA-20240214-00509
LLE001-UA-20240417-68251,"господарська споруда літ.Б",https://prozorro.sale/auction/LLE001-UA-20240417-68251
LLE001-UA-20240514-47439,null,https://prozorro.sale/auction/LLE001-UA-20240514-47439
LLE001-UA-20240524-51753,"ПОКРИТТЯ ФЕМ ТИП 01 (ТРОЄЩИНА)",https://prozorro.sale/auction/LLE001-UA-20240524-51753
LLE001-UA-20240530-93641,"ГАРАЖ №2",https://prozorro.sale/auction/LLE001-UA-20240530-93641
LLE001-UA-20240531-51956,"ГАРАЖ №3",https://prozorro.sale/auction/LLE001-UA-20240531-51956
LLE001-UA-20240627-61997,"ПОЛІКЛІНІКА",https://prozorro.sale/auction/LLE001-UA-20240627-61997
LLE001-UA-20240627-74061,"нежитлові приміщення, літ. А",https://prozorro.sale/auction/LLE001-UA-20240627-74061
LLE001-UA-20240628-34533/,"Будівля Лабораторії СНІД",https://prozorro.sale/auction/LLE001-UA-20240628-34533/
LLE001-UA-20240702-35846/,"Основний корпус",https://prozorro.sale/auction/LLE001-UA-20240702-35846/
LLE001-UA-20240709-45609,"Частина будівлі охолоджувального сховища літ.""К"" (гр.нежитлових прим.№5)",https://prozorro.sale/auction/LLE001-UA-20240709-45609
LLE001-UA-20240709-77100,"АСФАЛЬТНЕ ПОКРИТТЯ МИКІЛЬСЬКО-СЛОБІСЬКА",https://prozorro.sale/auction/LLE001-UA-20240709-77100
LLE001-UA-20240717-80542,"МАЙДАНЧИК З БЕТОННИХ ПЛИТ ЗАГАЛЬНОЮ ПЛОЩЕЮ 175,5 м.кв. (ОЗ. ТЯГЛЕ)",https://prozorro.sale/auction/LLE001-UA-20240717-80542
LLE001-UA-20240813-44402,null,https://prozorro.sale/auction/LLE001-UA-20240813-44402
LLE001-UA-20240814-12477,null,https://prozorro.sale/auction/LLE001-UA-20240814-12477
LLE001-UA-20240819-70848,"ГІМНАЗІЯ ""ОБОЛОНЬ""",https://prozorro.sale/auction/LLE001-UA-20240819-70848
LLE001-UA-20240902-62711,"Асфальтове покриття",https://prozorro.sale/auction/LLE001-UA-20240902-62711
LLE001-UA-20240906-82765,"АСФАЛЬТОВАНИЙ МАЙДАНЧИК",https://prozorro.sale/auction/LLE001-UA-20240906-82765
LLE001-UA-20240926-54579,"Амбулаторія № 1",https://prozorro.sale/auction/LLE001-UA-20240926-54579
LLE001-UA-20240930-42565,"ПРИМІЩЕННЯ НАСОСНОЇ СТАНЦІЇ-122",https://prozorro.sale/auction/LLE001-UA-20240930-42565
LLE001-UA-20241003-05436,"КІНОТЕАТР ""БРАТИСЛАВА""",https://prozorro.sale/auction/LLE001-UA-20241003-05436
LLE001-UA-20241003-28884,"ВИРОБНИЧЕ",https://prozorro.sale/auction/LLE001-UA-20241003-28884
LLE001-UA-20241004-27606,"КІНОТЕАТР ""БРАТИСЛАВА""",https://prozorro.sale/auction/LLE001-UA-20241004-27606
LLE001-UA-20241004-67685,"КІНОТЕАТР ""БРАТИСЛАВА""",https://prozorro.sale/auction/LLE001-UA-20241004-67685
LLE001-UA-20241107-43226,"ЛІКУВАЛЬНИЙ КОРПУС",https://prozorro.sale/auction/LLE001-UA-20241107-43226
LLE001-UA-20241108-61696,"ШКОЛА №298",https://prozorro.sale/auction/LLE001-UA-20241108-61696
LLE001-UA-20241126-65870,"БУДИНОК САДІВНИКА літ.""С""",https://prozorro.sale/auction/LLE001-UA-20241126-65870
